Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Labels,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Raised during),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
Generate a Program Overview PDF,JWP-13,10012,Story,To Do,JWP,jwprogram,software,admin,,,Highest,,,admin,admin,28/Jun/16 9:27 AM,04/Mar/17 4:41 PM,24/Feb/18 2:42 PM,,1.0,,0,,http://duckranger.com/2010/12/display-a-generated-pdf-from-within-spring-webflow/,,denisbittante,144000,144000,,0%,144000,144000,,,,{},,JWP-99,,,13,,0|i000g3:,JwProgra Sprint 1,JwProgra Sprint 2,JwProgra Sprint 3,5.0,,,2016-07-05 07:53:01.71,05/Jul/16 9:53 AM;denisbittante;,
A programowner want to create absences for People too,JWP-32,10031,Story,To Do,JWP,jwprogram,software,admin,,,Highest,,,admin,admin,14/Aug/16 8:25 PM,04/Mar/17 4:39 PM,24/Feb/18 2:42 PM,,1.0,,0,Absence,,,denisbittante,144000,144000,,0%,144000,144000,,,,{},,JWP-88,,,32,,0|i0000e:od,JwProgra Sprint 3,,,5.0,,,,,
Create Person,JWP-10,10009,Story,To Do,JWP,jwprogram,software,admin,,,High,,,admin,admin,28/Jun/16 9:25 AM,04/Mar/17 4:40 PM,24/Feb/18 2:42 PM,,1.0,,0,,"Die Organisation muss noch geladen werden und das 
(/) geschlecht muss aus den Dropdown gesetzt werden können",,denisbittante,57600,57600,,0%,57600,57600,,,,{},,JWP-90,,,10,,0|i0000e:n,JwProgra Sprint 2,JwProgra Sprint 3,,2.0,,,2016-06-28 07:25:49.548,28/Jun/16 9:25 AM;denisbittante;,05/Jul/16 9:55 AM;denisbittante;
Login implementieren,INNT-22,13732,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,22/Nov/17 3:58 PM,24/Feb/18 2:39 PM,24/Feb/18 2:42 PM,,Beta,,0,,,,admin,,,,,,,,,,{},,INNT-2,,,,,0|hzzzyy:d,,,,3.0,,,,,
Vorträge können gesucht werden,INNT-20,13730,Story,In Progress,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,22/Nov/17 3:52 PM,24/Feb/18 2:39 PM,24/Feb/18 2:42 PM,,F&F Version,,0,,,,admin,,,,,,,,,,{},,INNT-10,,,,,0|hzzzyy:9,INNT Sprint 1,,,2.0,,,,,
Save Vortrag implementieren,INNT-18,13728,Story,In Progress,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,22/Nov/17 3:50 PM,24/Feb/18 2:39 PM,24/Feb/18 2:42 PM,,F&F Version,,0,,,,admin,,,,,,,,,,{},,INNT-10,,,,,0|hzzzyx:i,INNT Sprint 1,,,2.0,,,,,
Berechtigung holen implementieren,INNT-12,13722,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,17/Nov/17 1:34 PM,24/Feb/18 2:39 PM,24/Feb/18 2:42 PM,,Beta,,0,,,,admin,,,,,,,,,,{},,INNT-9,,,,,0|hzzzyw:v,,,,2.0,,,,,
Microservice  erstellen ,INNT-11,13721,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,17/Nov/17 1:34 PM,24/Feb/18 2:39 PM,24/Feb/18 2:42 PM,,Beta,,0,,,,admin,,,,,,,,,,{},,INNT-9,,,,,0|hzzzyw:r,,,,2.0,,,,,
Datenbank für die Aktivitäten erstellen,INNT-7,13717,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,16/Nov/17 10:37 AM,24/Feb/18 2:39 PM,28/Dec/17 7:54 PM,,F&F Version,,0,,,,admin,,,,,,,,,,{},,INNT-15,,,,,0|hzzzyw:i,INNT Sprint 1,,,5.0,,,,,
Rest Schnittstelle erstellen,INNT-6,13716,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,16/Nov/17 10:37 AM,24/Feb/18 2:39 PM,15/Dec/17 12:46 AM,,Beta,,0,,,,admin,,,,,,,,,,{},,INNT-9,,,,,0|hzzzyw:,,,,3.0,,,,,
Der User ist in der Lage Vorträge zu speichern,INNT-3,13713,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,16/Nov/17 9:54 AM,24/Feb/18 2:39 PM,24/Feb/18 2:42 PM,,F&F Version,,0,,,,admin,,,,,,,,,,{},,INNT-2,,,,,0|hzzzyj:,,,,3.0,,,,,
Rest Schnittstelle erstellen für die Vorträge,INNT-17,13727,Story,To Do,INNT,Innovationen & Technologien,software,admin,,,Medium,,,admin,admin,22/Nov/17 3:50 PM,24/Feb/18 2:39 PM,24/Feb/18 2:42 PM,,F&F Version,,0,,"CRUD
",,admin,,,,,,,,,,{},,INNT-10,,,,,0|hzzzyx:,,,,3.0,,,,,
